epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1889.18,0.76909,1.36982,0.71287,0.9125,0.28528,0.58656,0.25514,0.18058,0.32456,0.46176,0.25095,0.16341,1.15342,2.22116,2.97792,1.11631,0.000396246,0.000396246,0.000396246
79,1912.8,0.80175,1.36621,0.73548,0.93118,0.28915,0.59785,0.25418,0.18245,0.28542,0.58656,0.24894,0.16238,1.15097,2.22644,2.99435,1.11751,0.000379743,0.000379743,0.000379743
80,1932.08,0.77725,1.39553,0.70666,0.92263,0.30095,0.59264,0.24755,0.17735,0.29781,0.58135,0.24209,0.16115,1.1262,2.24067,3.18267,1.11045,0.000363239,0.000363239,0.000363239
81,1959.28,0.82771,1.47469,0.72927,0.92461,0.31064,0.56505,0.24562,0.17226,0.30749,0.55376,0.24073,0.15699,1.12038,2.19891,3.37113,1.11564,0.000346736,0.000346736,0.000346736
82,1983.33,0.79064,1.41383,0.69015,0.91475,0.30571,0.5871,0.23699,0.16608,0.30262,0.57581,0.23506,0.15202,1.11373,2.15728,3.34743,1.10938,0.000330233,0.000330233,0.000330233
83,2005.33,0.75568,1.39284,0.70514,0.92214,0.30217,0.59247,0.23854,0.17259,0.29923,0.58118,0.23968,0.15658,1.12154,2.1707,3.26842,1.11546,0.000313729,0.000313729,0.000313729
84,2030.45,0.76514,1.37566,0.69376,0.90682,0.29242,0.59247,0.24605,0.17821,0.28224,0.57043,0.23862,0.15752,1.13992,2.19248,3.11672,1.12328,0.000297226,0.000297226,0.000297226
85,2055,0.77707,1.44935,0.70766,0.9201,0.29203,0.55914,0.23855,0.1762,0.29314,0.55914,0.2404,0.15566,1.12302,2.21934,3.0379,1.10878,0.000280723,0.000280723,0.000280723
86,2080.94,0.74121,1.38192,0.68307,0.92748,0.29686,0.5371,0.24693,0.18058,0.3046,0.54839,0.25087,0.16386,1.11473,2.19072,3.06564,1.10378,0.00026422,0.00026422,0.00026422
87,2104.62,0.78436,1.32697,0.69334,0.93077,0.28876,0.58118,0.24743,0.18303,0.30602,0.5371,0.24886,0.16461,1.12029,2.20441,3.14663,1.10772,0.000247716,0.000247716,0.000247716
88,2126.13,0.74382,1.3554,0.65218,0.89707,0.29499,0.53963,0.24725,0.17985,0.30236,0.55376,0.24751,0.16074,1.10691,2.20332,3.22788,1.10117,0.000231213,0.000231213,0.000231213
89,2152.69,0.75826,1.40682,0.67612,0.92123,0.30545,0.55671,0.26734,0.18934,0.30545,0.55671,0.26034,0.16807,1.10586,2.16104,3.24562,1.10248,0.00021471,0.00021471,0.00021471
90,2176.57,0.76732,1.40176,0.65838,0.91637,0.31088,0.56333,0.26979,0.19227,0.31088,0.56333,0.25995,0.16973,1.09312,2.12038,3.19633,1.10046,0.000198206,0.000198206,0.000198206
91,2213.6,0.74818,1.37436,0.76184,0.89556,0.30596,0.56989,0.26763,0.19074,0.34798,0.46505,0.26371,0.16952,1.08365,2.12176,3.23945,1.09647,0.000181703,0.000181703,0.000181703
92,2239.15,0.71485,1.29758,0.67825,0.8857,0.34549,0.45388,0.26355,0.18764,0.34992,0.45925,0.25835,0.16671,1.08874,2.15481,3.12872,1.10021,0.0001652,0.0001652,0.0001652
93,2264.09,0.71563,1.30329,0.67252,0.90496,0.29085,0.56452,0.2564,0.18273,0.33631,0.45477,0.24925,0.16026,1.09866,2.20951,2.93252,1.10717,0.000148696,0.000148696,0.000148696
94,2287.52,0.69412,1.32288,0.6949,0.88959,0.33172,0.44892,0.24276,0.17303,0.33656,0.4543,0.24185,0.15447,1.10738,2.18759,2.81018,1.11419,0.000132193,0.000132193,0.000132193
95,2310,0.72867,1.38237,0.69265,0.88379,0.33718,0.45361,0.24504,0.17356,0.30492,0.56989,0.24261,0.1555,1.1182,2.19046,2.81333,1.11825,0.00011569,0.00011569,0.00011569
96,2333.66,0.69148,1.22482,0.69562,0.87309,0.29343,0.58177,0.24278,0.17262,0.30602,0.56989,0.24058,0.15377,1.11401,2.17069,2.86486,1.12511,9.91865e-05,9.91865e-05,9.91865e-05
97,2359.01,0.64646,1.18149,0.64189,0.86079,0.30105,0.59194,0.23588,0.1675,0.30875,0.58,0.24172,0.15383,1.10819,2.15845,2.98455,1.12488,8.26832e-05,8.26832e-05,8.26832e-05
98,2382.9,0.65014,1.26585,0.65119,0.88378,0.34755,0.45292,0.24637,0.17906,0.30738,0.58065,0.25265,0.16365,1.11005,2.16584,3.08537,1.12356,6.61799e-05,6.61799e-05,6.61799e-05
99,2406.76,0.64703,1.24187,0.6186,0.87146,0.34673,0.4543,0.2511,0.18137,0.30573,0.58065,0.25355,0.1631,1.11189,2.16541,3.1247,1.127,4.96766e-05,4.96766e-05,4.96766e-05
100,2431.33,0.68597,1.3167,0.64186,0.88404,0.34145,0.45968,0.24138,0.17268,0.30302,0.58065,0.24275,0.15611,1.11133,2.15302,3.16545,1.12924,3.31733e-05,3.31733e-05,3.31733e-05
